#ID,callsign,title,name,location,website,file
WD4ELG-40-Slow,WD4ELG,40m grabber,Mark,"Greensboro, NC",http://wd4elg.blogspot.com,https://www.dropbox.com/s/5bllpsdcvd0iwqt/WD4ELG%2040M%206%20Hour%20grabber%20%28REFRESH%20for%20latest%20grab%29.jpg
WD4ELG-80-Slow,WD4ELG,80m grabber,Mark,"Greensboro, NC",http://wd4elg.blogspot.com,https://www.dropbox.com/s/rrpil5x08v3e3s2/WD4ELG%2080M%206%20Hour%20grabber%20%28REFRESH%20for%20latest%20grab%29.jpg
WD4ELG-160-Slow,WD4ELG,160m grabber,Mark,"Greensboro, NC",http://wd4elg.blogspot.com,https://www.dropbox.com/s/b6mr1461h9ym0uq/WD4ELG%20160M%206%20Hour%20grabber%20%28REFRESH%20for%20latest%20grab%29.jpg
W4HBK-1,W4HBK,10min,Bill,"Pensacola, Florida",http://www.qsl.net/w4hbk/,http://www.qsl.net/w4hbk/hf1.jpg
W4HBK-2,W4HBK,6hr,Bill,"Pensacola, Florida",http://www.qsl.net/w4hbk/,http://www.qsl.net/w4hbk/hf2.jpg
W4HBK-3,W4HBK,Auxillary grabber,Bill,"Pensacola, Florida",http://www.qsl.net/w4hbk/,https://www.qsl.net/w4hbk/aux1.jpg
W4HBK-Experimental,W4HBK,Experimental tests,Bill,"Pensacola, Florida",http://www.qsl.net/w4hbk/,http://www.qsl.net/w4hbk/hf3.jpg
W6REK-20m,W6REK,20m,Henry,"San Jose, California",http://yak.net/qrss/,http://yak.net/qrss/W6REK-20m.png
W6REK-30m,W6REK,30m,Henry,"San Jose, California",http://yak.net/qrss/,http://yak.net/qrss/W6REK-30m.png
W6REK-40m,W6REK,40m,Henry,"San Jose, California",http://yak.net/qrss/,http://yak.net/qrss/W6REK-40m.png
W6REK-80j,W6REK,80j,Henry,"San Jose, California",http://yak.net/qrss/,http://yak.net/qrss/W6REK-80j.png
W6REK-80x,W6REK,80x,Henry,"San Jose, California",http://yak.net/qrss/,http://yak.net/qrss/W6REK-80x.png
W6REK-160m,W6REK,160m,Henry,"San Jose, California",http://yak.net/qrss/,http://yak.net/qrss/W6REK-160m.png
WA5DJJ-6m,WA5DJJ,6m,David,"Las Cruces, New Mexico",http://qsl.net/wa5djj/,http://qsl.net/wa5djj/hf9.jpg
WA5DJJ-10m,WA5DJJ,10m,David,"Las Cruces, New Mexico",http://qsl.net/wa5djj/,http://qsl.net/wa5djj/hf8.jpg
WA5DJJ-Wide-10m,WA5DJJ,10m,David,"Las Cruces, New Mexico",http://qsl.net/wa5djj/,https://qsl.net/wa5djj/uhf7.jpg
WA5DJJ-12m,WA5DJJ,12m,David,"Las Cruces, New Mexico",http://qsl.net/wa5djj/,http://qsl.net/wa5djj/hf7.jpg
WA5DJJ-15m,WA5DJJ,15m,David,"Las Cruces, New Mexico",http://qsl.net/wa5djj/,http://qsl.net/wa5djj/hf6.jpg
WA5DJJ-17m,WA5DJJ,17m,David,"Las Cruces, New Mexico",http://qsl.net/wa5djj/,http://qsl.net/wa5djj/hf5.jpg
WA5DJJ-20m,WA5DJJ,20m,David,"Las Cruces, New Mexico",http://qsl.net/wa5djj/,http://qsl.net/wa5djj/hf4.jpg
WA5DJJ-22m-Hifer1,WA5DJJ,22m HiFer,David,"Las Cruces, New Mexico",http://qsl.net/wa5djj/,https://qsl.net/wa5djj/uhf4.jpg
WA5DJJ-22m-Hifer2,WA5DJJ,22m HiFer,David,"Las Cruces, New Mexico",http://qsl.net/wa5djj/,https://qsl.net/wa5djj/vlf1.jpg
WA5DJJ-30m,WA5DJJ,30m,David,"Las Cruces, New Mexico",http://qsl.net/wa5djj/,http://qsl.net/wa5djj/hf3.jpg
WA5DJJ-40m,WA5DJJ,40m,David,"Las Cruces, New Mexico",http://qsl.net/wa5djj/,http://qsl.net/wa5djj/hf2.jpg
# WA5DJJ-60m,WA5DJJ,60m,David,"Las Cruces, New Mexico",http://qsl.net/wa5djj/,http://qsl.net/wa5djj/hf1.jpg
WA5DJJ-80m,WA5DJJ,80m,David,"Las Cruces, New Mexico",http://qsl.net/wa5djj/,http://qsl.net/wa5djj/mf3.jpg
WA5DJJ-160m,WA5DJJ,160m,David,"Las Cruces, New Mexico",http://qsl.net/wa5djj/,http://qsl.net/wa5djj/mf2.jpg
WA5DJJ-630m,WA5DJJ,630m,David,"Las Cruces, New Mexico",http://qsl.net/wa5djj/,https://qsl.net/wa5djj/mf1.jpg
WA5DJJ-2200m,WA5DJJ,2200m,David,"Las Cruces, New Mexico",http://qsl.net/wa5djj/,https://qsl.net/wa5djj/mf4.jpg
ZL2IK1,ZL2IK,10min,Pete,"Northland, New Zealand",http://zl2ik.com/Grabber.html,http://zl2ik.com/Argo.jpg
ZL2IK2,ZL2IK,5hr,Pete,"Northland, New Zealand",http://zl2ik.com/Grabber4Hr.html,http://zl2ik.com/Brgo.jpg
